City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,sao jose da coroa grande,-8.8978,-35.1478,299.25,78,9,5.18,BR,1698357272
180,kanungu,-0.9575,29.7897,290.57,84,100,1.52,UG,1698357273
181,krasnyy chikoy,50.3643,108.7512,273.11,74,72,1.6,RU,1698357273
182,nemuro,43.3236,145.575,284.78,79,70,2.28,JP,1698357273
183,nova vicosa,-17.8919,-39.3719,298.26,88,88,4.38,BR,1698357274
184,mersa matruh,31.3525,27.2453,294.26,83,0,0.0,EG,1698357274
185,chifeng,42.2683,118.9636,279.57,33,8,2.53,CN,1698357274
186,dalbandin,28.8947,64.4101,297.87,27,99,2.43,PK,1698357274
187,port blair,11.6667,92.75,299.17,94,40,0.51,IN,1698357275
188,nouadhibou,20.931,-17.0347,298.14,57,30,3.09,MR,1698357275
189,puerto baquerizo moreno,-0.9,-89.6,298.7,78,75,6.69,EC,1698357147
190,enewetak,11.3474,162.3373,301.81,77,100,7.24,MH,1698357276
191,hermanus,-34.4187,19.2345,289.12,74,64,4.61,ZA,1698357276
192,vicam,27.6333,-110.2833,304.31,26,0,3.92,MX,1698357276
193,mae sai,20.4335,99.8762,294.01,98,86,0.54,TH,1698357277
194,istaravshan,39.9142,69.0033,286.0,59,96,1.52,TJ,1698357277
195,maracas,-13.4411,-40.4308,296.64,61,90,3.52,BR,1698357277
196,anadyr,64.75,177.4833,273.43,100,75,3.0,RU,1698357277
197,hotan,37.0997,79.9269,284.63,26,75,1.94,CN,1698357278
198,lata,40.1629,-8.3327,288.1,93,61,1.52,PT,1698357278
199,la passe,45.5549,-0.8967,288.14,80,70,9.21,FR,1698357278
200,lago da pedra,-4.3333,-45.1667,304.1,40,4,3.15,BR,1698357279
201,solnechnyy,50.7214,136.6319,273.72,83,4,1.07,RU,1698357279
202,puerto armuelles,8.2833,-82.8667,302.14,84,100,0.45,PA,1698357279
203,happy valley-goose bay,53.3168,-60.3315,276.32,70,20,4.12,CA,1698357280
204,domanivka,47.6319,30.9885,287.9,90,100,3.05,UA,1698357280
205,el colorado,-26.3081,-59.3729,298.08,54,92,1.99,AR,1698357281
206,carutapera,-1.195,-46.02,299.93,73,27,3.71,BR,1698357281
207,mili,6.0815,171.735,302.13,74,67,4.75,MH,1698357281
208,trunovskoye,45.4878,42.1358,288.87,70,100,3.0,RU,1698357281
209,lompoc,34.6391,-120.4579,298.16,67,20,10.29,US,1698357282
210,saudarkrokur,65.7461,-19.6394,273.8,83,34,2.24,IS,1698357282
211,siwa oasis,29.2041,25.5195,297.06,41,96,0.62,EG,1698357282
212,tura,25.5198,90.2201,292.38,89,0,1.12,IN,1698357282
213,altamont,42.2068,-121.7372,281.98,49,0,2.24,US,1698357283
214,colares,38.7992,-9.4469,291.35,83,100,5.81,PT,1698357283
215,salinopolis,-0.6136,-47.3561,300.91,70,35,5.18,BR,1698357283
216,yangambi,0.8102,24.4336,293.33,99,100,1.32,CD,1698357283
217,faya-largeau,17.9257,19.1043,299.77,19,1,6.05,TD,1698357284
218,brookings,44.3114,-96.7984,283.25,95,100,3.6,US,1698357262
219,outjo,-20.1167,16.15,294.36,33,22,6.29,NA,1698357284
220,villa gesell,-37.2639,-56.973,292.18,56,5,6.76,AR,1698357285
221,xinmin,41.9908,122.8253,277.44,23,5,1.72,CN,1698357285
222,karratha,-20.7377,116.8463,303.86,21,18,8.7,AU,1698357285
223,erenhot,43.6475,111.9767,281.21,26,5,3.67,CN,1698357286
224,urangan,-25.3,152.9,291.4,73,100,6.46,AU,1698357286
225,sakata,38.9167,139.855,285.83,89,84,2.27,JP,1698357286
226,undurkhaan,47.3194,110.6556,276.96,42,15,1.57,MN,1698357286
227,kihancha,-1.1838,34.6262,292.02,73,57,4.47,KE,1698357286
228,baligang,13.1537,123.6432,297.19,91,57,1.15,PH,1698357287
229,kone,-21.0595,164.8658,296.97,84,100,2.47,NC,1698357287
230,saint-francois,46.4154,3.9054,284.84,100,75,1.03,FR,1698357287
